customer_id,recent_purchase,recency,frequency,monetary,R 점수,F 점수,M 점수,RFM세그먼트,RFM스코어,,,R,,F,M
14911,2011-12-08 15:54:00 UTC,2,5670,143711.17,4,4,4,444,12,,,,,,
15935,2011-04-14 13:27:00 UTC,240,12,416.86,1,1,2,112,4,,,,,,
12352,2011-11-03 14:37:00 UTC,37,85,2506.04,3,3,4,334,10,,,,,,
13637,2011-10-18 13:32:00 UTC,53,99,804.3,2,4,3,243,9,,,,,,
16454,2011-10-26 11:40:00 UTC,45,2,6.9,3,1,1,311,5,,,,,,
17223,2011-02-02 15:57:00 UTC,311,48,416.89,1,3,2,132,6,,,,,,
12619,2011-11-23 14:52:00 UTC,17,90,3641.24,4,3,4,434,11,,,,,,
14667,2011-11-29 11:30:00 UTC,11,567,9175.04,4,4,4,444,12,,,,,,
12365,2011-02-21 14:04:00 UTC,292,22,641.38,1,2,2,122,5,,,,,,
16210,2011-12-08 12:36:00 UTC,2,123,21086.3,4,4,4,444,12,,,,,,
14931,2011-12-05 10:19:00 UTC,5,41,1257.68,4,3,3,433,10,,,,,,
16725,2011-02-10 16:52:00 UTC,303,145,758.27,1,4,3,143,8,,,,,,
17757,2011-12-08 15:31:00 UTC,2,740,5593.39,4,4,4,444,12,,,,,,
18014,2011-11-11 15:28:00 UTC,29,30,162.22,3,2,1,321,6,,,,,,
17759,2011-11-22 16:02:00 UTC,18,90,819.96,3,3,3,333,9,,,,,,
14178,2011-12-01 12:01:00 UTC,9,318,1600.26,4,4,3,443,11,,,,,,
16742,2011-10-24 12:02:00 UTC,47,1,464.9,3,1,2,312,6,,,,,,
15719,2011-11-07 12:29:00 UTC,33,931,5030.07,3,4,4,344,11,,,,,,
18283,2011-12-06 12:02:00 UTC,4,721,2045.53,4,4,4,444,12,,,,,,
13174,2011-11-23 14:35:00 UTC,17,293,2742.82,4,4,4,444,12,,,,,,
14456,2011-12-04 13:59:00 UTC,6,947,3017.28,4,4,4,444,12,,,,,,
15482,2011-11-24 10:46:00 UTC,16,97,10879.76,4,3,4,434,11,,,,,,
17530,2011-12-08 18:42:00 UTC,2,390,2367.12,4,4,4,444,12,,,,,,
12923,2011-10-06 16:20:00 UTC,65,28,172.82,2,2,1,221,5,,,,,,
12924,2011-09-12 13:55:00 UTC,89,30,933.7,2,2,3,223,7,,,,,,
12669,2011-07-12 09:54:00 UTC,151,101,2744.03,1,4,4,144,9,,,,,,
14461,2011-07-14 17:11:00 UTC,149,180,2103.06,1,4,4,144,9,,,,,,
13184,2011-11-25 12:02:00 UTC,15,179,1668.95,4,4,4,444,12,,,,,,
14976,2011-10-13 16:37:00 UTC,58,72,790.86,2,3,3,233,8,,,,,,
16519,2011-11-14 15:41:00 UTC,26,13,215.08,3,1,1,311,5,,,,,,
17800,2011-11-02 12:57:00 UTC,38,103,1187.21,3,4,3,343,10,,,,,,
13708,2011-03-13 13:46:00 UTC,272,49,285.33,1,3,1,131,5,,,,,,
15502,2011-11-24 12:48:00 UTC,16,213,10384.93,4,4,4,444,12,,,,,,
13199,2011-12-06 12:30:00 UTC,4,119,9817.12,4,4,4,444,12,,,,,,
16015,2011-12-06 10:58:00 UTC,4,181,704.55,4,4,3,443,11,,,,,,
16274,2010-12-01 15:35:00 UTC,374,65,351.75,1,3,2,132,6,,,,,,
17811,2011-12-05 13:46:00 UTC,5,828,7761.82,4,4,4,444,12,,,,,,
16788,2011-08-08 14:53:00 UTC,124,148,594.39,2,4,2,242,8,,,,,,
16791,2011-11-10 19:12:00 UTC,30,314,1705.78,3,4,4,344,11,,,,,,
15004,2011-07-15 14:05:00 UTC,148,154,1220.77,1,4,3,143,8,,,,,,
15006,2011-10-19 15:08:00 UTC,52,132,480.38,2,4,2,242,8,,,,,,
17571,2011-10-20 15:57:00 UTC,51,271,1425.67,2,4,3,243,9,,,,,,
13221,2011-04-13 16:58:00 UTC,241,66,847.41,1,3,3,133,7,,,,,,
16806,2011-08-28 15:27:00 UTC,104,93,762.16,2,3,3,233,8,,,,,,
13991,2011-11-27 16:18:00 UTC,13,82,852.88,4,3,3,433,10,,,,,,
18087,2011-09-02 15:12:00 UTC,99,2,4055.72,2,1,4,214,7,,,,,,
15529,2011-11-17 11:29:00 UTC,23,662,3962.6,3,4,4,344,11,,,,,,
17580,2011-04-01 12:41:00 UTC,253,45,215.72,1,3,1,131,5,,,,,,
17836,2011-10-23 16:13:00 UTC,48,24,110.21,3,2,1,321,6,,,,,,
14769,2011-12-07 10:24:00 UTC,3,1062,10416.98,4,4,4,444,12,,,,,,
17073,2011-11-22 11:47:00 UTC,18,174,1446.09,3,4,3,343,10,,,,,,
17841,2011-12-08 12:07:00 UTC,2,7676,40519.84,4,4,4,444,12,,,,,,
17843,2011-02-09 15:33:00 UTC,304,37,205.48,1,2,1,121,4,,,,,,
15796,2011-12-08 19:55:00 UTC,2,132,2708.61,4,4,4,444,12,,,,,,
15797,2011-08-18 17:04:00 UTC,114,8,2207.4,2,1,4,214,7,,,,,,
17589,2011-10-10 16:58:00 UTC,61,253,2404.17,2,4,4,244,10,,,,,,
17590,2011-12-07 12:55:00 UTC,3,196,1468.02,4,4,3,443,11,,,,,,
17846,2011-09-15 15:20:00 UTC,86,1,2033.1,2,1,4,214,7,,,,,,
12471,2011-12-07 15:43:00 UTC,3,459,19788.65,4,4,4,444,12,,,,,,
13240,2011-09-04 14:08:00 UTC,97,67,663.65,2,3,2,232,7,,,,,,
12473,2011-11-10 13:46:00 UTC,30,167,3928.05,3,4,4,344,11,,,,,,
17337,2011-07-11 14:55:00 UTC,152,521,1981.06,1,4,4,144,9,,,,,,
15802,2011-07-20 11:38:00 UTC,143,1,451.42,1,1,2,112,4,,,,,,
15291,2011-11-14 11:02:00 UTC,26,103,4668.3,3,4,4,344,11,,,,,,
15299,2011-10-03 14:19:00 UTC,68,7,4507.01,2,1,4,214,7,,,,,,
18117,2011-11-14 12:47:00 UTC,26,72,315.65,3,3,2,332,8,,,,,,
14534,2011-12-07 12:19:00 UTC,3,508,4397.3,4,4,4,444,12,,,,,,
15046,2011-11-30 15:50:00 UTC,10,201,5090.42,4,4,4,444,12,,,,,,
12744,2011-10-19 11:18:00 UTC,52,222,21279.29,2,4,4,244,10,,,,,,
17865,2011-11-09 12:08:00 UTC,31,370,10526.32,3,4,4,344,11,,,,,,
13263,2011-12-08 13:59:00 UTC,2,1667,7436.93,4,4,4,444,12,,,,,,
14543,2011-11-11 12:45:00 UTC,29,71,3599.73,3,3,4,334,10,,,,,,
17873,2011-09-20 16:41:00 UTC,81,43,1848.96,2,3,4,234,9,,,,,,
15060,2011-12-01 13:47:00 UTC,9,115,294.25,4,4,1,441,9,,,,,,
12757,2011-11-24 12:30:00 UTC,16,364,7834.65,4,4,4,444,12,,,,,,
15573,2011-11-08 11:38:00 UTC,32,97,591.19,3,3,2,332,8,,,,,,
15581,2011-08-11 09:38:00 UTC,121,146,3675.77,2,4,4,244,10,,,,,,
15334,2011-07-06 11:22:00 UTC,157,98,350.82,1,4,2,142,7,,,,,,
14570,2011-03-04 10:58:00 UTC,281,29,218.06,1,2,1,121,4,,,,,,
14830,2011-10-17 14:29:00 UTC,54,39,188.88,2,2,1,221,5,,,,,,
12783,2011-12-07 15:56:00 UTC,3,84,2225.91,4,3,4,434,11,,,,,,
13810,2011-11-11 08:33:00 UTC,29,35,1499.01,3,2,3,323,8,,,,,,
13811,2011-06-09 09:54:00 UTC,184,13,814.5,1,1,3,113,5,,,,,,
17396,2011-10-31 14:12:00 UTC,40,27,7330.8,3,2,4,324,9,,,,,,
16374,2011-10-04 15:21:00 UTC,67,109,466.73,2,4,2,242,8,,,,,,
13047,2011-11-08 12:06:00 UTC,32,172,3237.54,3,4,4,344,11,,,,,,
12536,2011-10-27 14:20:00 UTC,44,261,12601.83,3,4,4,344,11,,,,,,
13050,2011-11-25 09:18:00 UTC,15,403,5836.86,4,4,4,444,12,,,,,,
15867,2011-12-04 13:32:00 UTC,6,459,3810.14,4,4,4,444,12,,,,,,
13564,2011-07-18 14:33:00 UTC,145,81,1724.67,1,3,4,134,8,,,,,,
17404,2011-12-05 16:26:00 UTC,5,198,31906.82,4,4,4,444,12,,,,,,
17920,2011-12-05 14:29:00 UTC,5,665,4119.5,4,4,4,444,12,,,,,,
15889,2011-07-06 11:10:00 UTC,157,85,420.07,1,3,2,132,6,,,,,,
15920,2011-07-08 15:31:00 UTC,155,60,167.5,1,3,1,131,5,,,,,,
17975,2011-11-24 13:27:00 UTC,16,293,4483.26,4,4,4,444,12,,,,,,
14410,2011-09-08 15:08:00 UTC,93,189,1100.27,2,4,3,243,9,,,,,,
16474,2011-12-02 13:02:00 UTC,8,337,1810.65,4,4,4,444,12,,,,,,
14462,2011-10-04 15:55:00 UTC,67,233,1980.57,2,4,4,244,10,,,,,,
14723,2011-11-29 15:23:00 UTC,11,259,1122.36,4,4,3,443,11,,,,,,
12428,2011-11-14 08:22:00 UTC,26,294,7956.46,3,4,4,344,11,,,,,,
12684,2011-12-02 09:53:00 UTC,8,105,2283.63,4,4,4,444,12,,,,,,
16283,2011-12-04 12:08:00 UTC,6,166,1570.81,4,4,3,443,11,,,,,,
15005,2011-11-24 12:25:00 UTC,16,1112,6295.37,4,4,4,444,12,,,,,,
15525,2011-12-07 14:43:00 UTC,3,156,734.37,4,4,3,443,11,,,,,,
15532,2011-11-14 14:51:00 UTC,26,251,1564.73,3,4,3,343,10,,,,,,
17837,2011-10-28 16:13:00 UTC,43,162,1541.23,3,4,3,343,10,,,,,,
13232,2011-11-27 10:39:00 UTC,13,202,1328.35,4,4,3,443,11,,,,,,
15033,2011-12-05 12:40:00 UTC,5,501,2557.18,4,4,4,444,12,,,,,,
14527,2011-12-07 12:19:00 UTC,3,971,8507.13,4,4,4,444,12,,,,,,
17609,2011-10-30 12:28:00 UTC,41,233,1105.78,3,4,3,343,10,,,,,,
18122,2011-12-01 13:08:00 UTC,9,357,1793.06,4,4,4,444,12,,,,,,
15834,2011-09-30 14:41:00 UTC,71,269,2225.15,2,4,4,244,10,,,,,,
17894,2011-09-29 09:23:00 UTC,72,192,1118.96,2,4,3,243,9,,,,,,
17392,2011-02-06 12:48:00 UTC,307,56,417.27,1,3,2,132,6,,,,,,
16369,2011-11-21 16:25:00 UTC,19,117,1545.41,3,4,3,343,10,,,,,,
13301,2011-08-28 11:25:00 UTC,104,81,618.09,2,3,2,232,7,,,,,,
15888,2011-09-20 12:30:00 UTC,81,12,168.31,2,1,1,211,4,,,,,,
16960,2011-11-01 11:35:00 UTC,39,101,507.05,3,4,2,342,9,,,,,,
16712,2011-11-30 13:48:00 UTC,10,438,3611.31,4,4,4,444,12,,,,,,
14159,2011-11-20 12:36:00 UTC,20,1175,4630.35,3,4,4,344,11,,,,,,
13224,2011-10-10 14:55:00 UTC,61,108,2155.95,2,4,4,244,10,,,,,,
15023,2011-12-06 17:23:00 UTC,4,553,6720.41,4,4,4,444,12,,,,,,
17338,2011-11-22 14:23:00 UTC,18,721,6493.54,3,4,4,344,11,,,,,,
15549,2011-09-23 16:22:00 UTC,78,114,1681.46,2,4,4,244,10,,,,,,
13764,2011-09-30 12:03:00 UTC,71,207,1519.42,2,4,3,243,9,,,,,,
13521,2011-12-08 13:50:00 UTC,2,418,1071.73,4,4,3,443,11,,,,,,
16601,2011-10-30 11:09:00 UTC,41,30,242.7,3,2,1,321,6,,,,,,
15856,2011-12-05 17:09:00 UTC,5,628,16143.64,4,4,4,444,12,,,,,,
17979,2011-11-04 12:05:00 UTC,36,138,732.41,3,4,3,343,10,,,,,,
16205,2011-11-09 09:32:00 UTC,31,97,757.63,3,3,3,333,9,,,,,,
16729,2011-11-01 14:29:00 UTC,39,656,7205.33,3,4,4,344,11,,,,,,
17243,2011-12-08 13:26:00 UTC,2,387,8540.05,4,4,4,444,12,,,,,,
17771,2011-10-14 11:43:00 UTC,57,54,245.81,2,3,1,231,6,,,,,,
16511,2011-11-18 10:41:00 UTC,22,159,918.33,3,4,3,343,10,,,,,,
17323,2011-11-24 17:29:00 UTC,16,195,906.52,4,4,3,443,11,,,,,,
14796,2011-12-08 15:31:00 UTC,2,1132,7975.49,4,4,4,444,12,,,,,,
16669,2011-11-16 12:26:00 UTC,24,156,1348.88,3,4,3,343,10,,,,,,
17068,2011-11-27 13:14:00 UTC,13,296,4552.14,4,4,4,444,12,,,,,,
12849,2011-11-08 13:41:00 UTC,32,48,1010.29,3,3,3,333,9,,,,,,
14666,2011-11-15 12:57:00 UTC,25,14,195.25,3,1,1,311,5,,,,,,
14704,2011-11-28 12:51:00 UTC,12,393,1493.96,4,4,3,443,11,,,,,,
15993,2011-12-01 10:45:00 UTC,9,543,2777.67,4,4,4,444,12,,,,,,
16814,2011-11-25 13:27:00 UTC,15,319,6416.7,4,4,4,444,12,,,,,,
17078,2011-11-03 19:17:00 UTC,37,28,378.2,3,2,2,322,7,,,,,,
18126,2011-10-10 12:19:00 UTC,61,52,200.92,2,3,1,231,6,,,,,,
16348,2011-11-07 15:44:00 UTC,33,222,1415.65,3,4,3,343,10,,,,,,
16904,2011-12-05 13:10:00 UTC,5,665,3653.75,4,4,4,444,12,,,,,,
15882,2011-05-25 11:35:00 UTC,199,23,516.36,1,2,2,122,5,,,,,,
14623,2011-11-07 13:56:00 UTC,33,133,886.7,3,4,3,343,10,,,,,,
17957,2011-10-04 14:58:00 UTC,67,31,111.68,2,2,1,221,5,,,,,,
13167,2011-11-21 12:24:00 UTC,19,65,791.33,3,3,3,333,9,,,,,,
17522,2011-12-08 12:31:00 UTC,2,73,1070.71,4,3,3,433,10,,,,,,
16771,2011-11-06 13:28:00 UTC,34,254,2242.61,3,4,4,344,11,,,,,,
17062,2011-01-30 11:01:00 UTC,314,69,533.33,1,3,2,132,6,,,,,,
18118,2011-11-29 11:32:00 UTC,11,1263,5625.08,4,4,4,444,12,,,,,,
17365,2011-11-27 12:13:00 UTC,13,465,4767.36,4,4,4,444,12,,,,,,
14502,2011-11-20 11:50:00 UTC,20,608,2429.83,3,4,4,344,11,,,,,,
17315,2011-12-08 12:15:00 UTC,2,471,6281.23,4,4,4,444,12,,,,,,
13421,2011-10-30 14:21:00 UTC,41,102,1833.71,3,4,4,344,11,,,,,,
16327,2011-11-25 13:23:00 UTC,15,317,3820.27,4,4,4,444,12,,,,,,
17692,2011-08-04 14:01:00 UTC,128,46,740.94,2,3,3,233,8,,,,,,
16965,2011-04-27 12:08:00 UTC,227,26,201.19,1,2,1,121,4,,,,,,
13338,2011-07-05 09:06:00 UTC,158,19,487.02,1,2,2,122,5,,,,,,
13343,2011-06-15 12:24:00 UTC,178,19,353.43,1,2,2,122,5,,,,,,
13345,2011-02-25 09:01:00 UTC,288,20,389.5,1,2,2,122,5,,,,,,
13347,2011-09-30 13:28:00 UTC,71,8,341.36,2,1,2,212,5,,,,,,
13349,2011-11-29 08:07:00 UTC,11,16,247.32,4,1,1,411,6,,,,,,
13350,2011-11-23 16:33:00 UTC,17,40,979.12,4,2,3,423,9,,,,,,
13351,2011-10-04 12:55:00 UTC,67,16,373.94,2,1,2,212,5,,,,,,
13352,2011-10-10 13:55:00 UTC,61,24,397.98,2,2,2,222,6,,,,,,
13358,2011-03-16 11:52:00 UTC,269,29,439.03,1,2,2,122,5,,,,,,
13359,2011-10-07 09:30:00 UTC,64,23,439.56,2,2,2,222,6,,,,,,
13363,2011-11-22 12:40:00 UTC,18,60,992.5,3,3,3,333,9,,,,,,
13368,2011-03-28 09:59:00 UTC,257,29,623.4,1,2,2,122,5,,,,,,
13369,2010-12-09 11:30:00 UTC,366,14,308.28,1,1,2,112,4,,,,,,
13372,2011-09-11 12:46:00 UTC,90,23,378.64,2,2,2,222,6,,,,,,
13376,2011-09-01 16:16:00 UTC,100,53,1019.76,2,3,3,233,8,,,,,,
14156,2011-11-30 10:54:00 UTC,10,1395,117210.08,4,4,4,444,12,,,,,,
13908,2011-09-21 11:49:00 UTC,80,122,2369.55,2,4,4,244,10,,,,,,
14932,2010-12-09 11:48:00 UTC,366,17,363.53,1,2,2,122,5,,,,,,
16257,2011-06-16 10:11:00 UTC,177,2,46.95,1,1,1,111,3,,,,,,
12678,2011-10-28 13:04:00 UTC,43,165,17628.46,3,4,4,344,11,,,,,,
16265,2011-11-30 16:41:00 UTC,10,258,5447,4,4,4,444,12,,,,,,
16268,2011-09-29 18:30:00 UTC,72,45,667.65,2,3,2,232,7,,,,,,
14016,2011-07-01 11:29:00 UTC,162,161,4341.21,1,4,4,144,9,,,,,,
12749,2011-12-06 09:56:00 UTC,4,199,4090.88,4,4,4,444,12,,,,,,
14817,2011-05-23 13:35:00 UTC,201,63,1110.34,1,3,3,133,7,,,,,,
14565,2011-09-05 09:07:00 UTC,96,127,3099.12,2,4,4,244,10,,,,,,
12493,2011-06-27 10:17:00 UTC,166,22,433.74,1,2,2,122,5,,,,,,
14096,2011-12-05 17:17:00 UTC,5,5111,65164.79,4,4,4,444,12,,,,,,
15618,2011-11-07 08:34:00 UTC,33,45,776.851,3,3,3,333,9,,,,,,
16198,2011-09-25 14:58:00 UTC,76,15,400.681,2,1,2,212,5,,,,,,
13952,2011-05-06 09:00:00 UTC,218,137,3251.071,1,4,4,144,9,,,,,,
12818,2011-03-23 12:06:00 UTC,262,14,1542.08,1,1,3,113,5,,,,,,
12567,2011-11-17 11:02:00 UTC,23,446,9401.28,3,4,4,344,11,,,,,,
12569,2011-12-07 16:24:00 UTC,3,188,4124.69,4,4,4,444,12,,,,,,
12578,2011-11-18 13:30:00 UTC,22,114,2794.51,3,4,4,344,11,,,,,,
14646,2011-12-08 12:12:00 UTC,2,2076,280206.02,4,4,4,444,12,,,,,,
12603,2011-11-18 10:42:00 UTC,22,2,739.2,3,1,3,313,7,,,,,,
12356,2011-11-17 08:40:00 UTC,23,59,2811.43,3,3,4,334,10,,,,,,
12613,2011-10-13 14:59:00 UTC,58,153,3344.38,2,4,4,244,10,,,,,,
12876,2011-10-13 12:26:00 UTC,58,85,2218.02,2,3,4,234,9,,,,,,
12621,2011-12-08 11:25:00 UTC,2,467,13689.67,4,4,4,444,12,,,,,,
12625,2011-05-12 09:54:00 UTC,212,86,2683.82,1,3,4,134,8,,,,,,
12626,2011-11-16 16:06:00 UTC,24,294,6620.48,3,4,4,344,11,,,,,,
12371,2011-10-26 10:16:00 UTC,45,63,1887.96,3,3,4,334,10,,,,,,
12635,2011-09-11 11:04:00 UTC,90,101,1689.18,2,4,4,244,10,,,,,,
12643,2011-08-03 12:56:00 UTC,129,24,3344.64,2,2,4,224,8,,,,,,
12394,2011-10-07 08:08:00 UTC,64,27,1272.48,2,2,3,223,7,,,,,,
12652,2011-01-12 15:00:00 UTC,332,48,919.98,1,3,3,133,7,,,,,,
12397,2011-11-04 09:52:00 UTC,36,126,2409.9,3,4,4,344,11,,,,,,
12656,2011-11-22 13:42:00 UTC,18,126,4051.17,3,4,4,344,11,,,,,,
12668,2011-11-28 10:56:00 UTC,12,161,3807.15,4,4,4,444,12,,,,,,
12681,2011-11-25 11:33:00 UTC,15,638,13787.54,4,4,4,444,12,,,,,,
12429,2011-11-30 17:22:00 UTC,10,97,3750.4,4,3,4,434,11,,,,,,
12444,2011-11-18 13:23:00 UTC,22,176,5005.46,3,4,4,344,11,,,,,,
12700,2011-12-02 10:47:00 UTC,8,268,4939.99,4,4,4,444,12,,,,,,
12449,2011-11-17 13:46:00 UTC,23,191,4067.29,3,4,4,344,11,,,,,,
12705,2011-11-24 13:17:00 UTC,16,334,6868.29,4,4,4,444,12,,,,,,
17828,2011-11-17 08:41:00 UTC,23,67,1820.09,3,3,4,334,10,,,,,,
12709,2011-11-24 15:38:00 UTC,16,207,9706.52,4,4,4,444,12,,,,,,
12456,2011-10-26 14:41:00 UTC,45,125,3181.04,3,4,4,344,11,,,,,,
12472,2011-11-07 14:01:00 UTC,33,339,6572.11,3,4,4,344,11,,,,,,
12476,2011-11-24 12:40:00 UTC,16,233,6816.42,4,4,4,444,12,,,,,,
12480,2011-11-11 14:52:00 UTC,29,154,3281.63,3,4,4,344,11,,,,,,
12484,2011-11-07 11:37:00 UTC,33,343,4527.32,3,4,4,344,11,,,,,,
12502,2011-09-05 11:52:00 UTC,96,147,3723.87,2,4,4,244,10,,,,,,
12524,2011-11-30 15:31:00 UTC,10,144,4485.72,4,4,4,444,12,,,,,,
13815,2011-11-17 14:19:00 UTC,23,176,4027.36,3,4,4,344,11,,,,,,
12540,2011-11-20 11:31:00 UTC,20,478,13400.24,3,4,4,344,11,,,,,,
12547,2011-05-26 12:38:00 UTC,198,8,207.8,1,1,1,111,3,,,,,,
12548,2011-06-26 15:35:00 UTC,167,5,95.2,1,1,1,111,3,,,,,,
16900,2011-11-23 10:32:00 UTC,17,79,887.11,4,3,3,433,10,,,,,,
12808,2011-11-03 10:05:00 UTC,37,28,483.65,3,2,2,322,7,,,,,,
12553,2011-12-01 16:38:00 UTC,9,191,3692.28,4,4,4,444,12,,,,,,
12811,2011-03-24 09:42:00 UTC,261,31,514.85,1,2,2,122,5,,,,,,
12814,2011-08-30 12:11:00 UTC,102,2,125.92,2,1,1,211,4,,,,,,
17935,2011-07-24 13:18:00 UTC,139,29,145.79,2,2,1,221,5,,,,,,
12816,2011-09-05 12:41:00 UTC,96,29,572.2,2,2,2,222,6,,,,,,
12817,2011-03-03 16:28:00 UTC,282,4,166.04,1,1,1,111,3,,,,,,
14866,2011-11-29 11:45:00 UTC,11,99,14389.9,4,4,4,444,12,,,,,,
17444,2011-07-15 12:05:00 UTC,148,135,2940.04,1,4,4,144,9,,,,,,
12581,2011-10-31 08:56:00 UTC,40,15,197.71,3,1,1,311,5,,,,,,
12582,2011-04-15 08:45:00 UTC,239,22,511.36,1,2,2,122,5,,,,,,
12583,2011-12-07 08:07:00 UTC,3,247,7281.38,4,4,4,444,12,,,,,,
12587,2011-12-02 12:47:00 UTC,8,4,144,4,1,1,411,6,,,,,,
12588,2011-10-31 15:01:00 UTC,40,10,214.9,3,1,1,311,5,,,,,,
12589,2011-11-11 10:19:00 UTC,29,35,646.68,3,2,2,322,7,,,,,,
12590,2011-05-12 14:52:00 UTC,212,68,9864.26,1,3,4,134,8,,,,,,
12592,2011-09-08 15:04:00 UTC,93,18,437.6,2,2,2,222,6,,,,,,
12594,2011-11-02 12:20:00 UTC,38,118,3338.22,3,4,4,344,11,,,,,,
16692,2011-03-28 14:46:00 UTC,257,3,1276,1,1,3,113,5,,,,,,
12597,2011-11-20 13:33:00 UTC,20,206,3811.22,3,4,4,344,11,,,,,,
12598,2011-11-30 12:18:00 UTC,10,132,3023.08,4,4,4,444,12,,,,,,
12599,2011-11-10 13:34:00 UTC,30,62,1032.58,3,3,3,333,9,,,,,,
12600,2011-11-11 10:29:00 UTC,29,64,2599.04,3,3,4,334,10,,,,,,
12601,2011-06-03 10:17:00 UTC,190,28,577.06,1,2,2,122,5,,,,,,
12348,2011-09-25 13:13:00 UTC,76,31,1797.24,2,2,4,224,8,,,,,,
12604,2011-09-21 14:08:00 UTC,80,16,254.18,2,1,1,211,4,,,,,,
12349,2011-11-21 09:51:00 UTC,19,73,1757.55,3,3,4,334,10,,,,,,
12350,2011-02-02 16:01:00 UTC,311,17,334.4,1,2,2,122,5,,,,,,
12610,2011-11-17 09:34:00 UTC,23,106,2099.54,3,4,4,344,11,,,,,,
14407,2011-08-24 14:02:00 UTC,108,73,2157.73,2,3,4,234,9,,,,,,
12361,2011-02-25 13:51:00 UTC,288,10,189.9,1,1,1,111,3,,,,,,
12618,2011-11-18 11:10:00 UTC,22,11,177.31,3,1,1,311,5,,,,,,
12364,2011-12-02 10:22:00 UTC,8,85,1313.1,4,3,3,433,10,,,,,,
12622,2011-04-21 16:39:00 UTC,233,11,180.1,1,1,1,111,3,,,,,,
15694,2011-12-09 09:44:00 UTC,1,78,6479.4,4,3,4,434,11,,,,,,
12367,2011-12-05 16:48:00 UTC,5,11,168.9,4,1,1,411,6,,,,,,
15187,2011-12-08 11:56:00 UTC,2,91,4777.18,4,3,4,434,11,,,,,,
12628,2011-12-05 13:15:00 UTC,5,41,786.46,4,3,3,433,10,,,,,,
12373,2011-02-01 13:10:00 UTC,312,14,364.6,1,1,2,112,4,,,,,,
12375,2011-11-29 10:36:00 UTC,11,17,457.5,4,2,2,422,8,,,,,,
12633,2011-10-12 11:40:00 UTC,59,101,2163.98,2,4,4,244,10,,,,,,
12381,2011-12-05 12:44:00 UTC,5,87,1845.31,4,3,4,434,11,,,,,,
